item,parent,label,original_point_cloud_count,minimal_bounding_box_volume,mesh_volume,date_created,user
root,
Stones,root
GuberNaturSteine,Stones
BatchA6,GuberNaturSteine
f0fd33f7-c1d8-4235-9384-5eaf27cc56b4,BatchA6,,323954,0.029571788968089145,0.012931547929014922,2021-09-07T20:23:36Z,broyet
8c88f16d-0017-4fd5-a955-50deb00278f7,BatchA6,,244479,0.027497624885746454,0.0092317357387590171,2021-09-07T20:24:05Z,broyet
8f776d49-54ab-4d0a-82b3-4bae45a1f94a,BatchA6,,245632,0.02622750325302084,0.010955302513673696,2021-09-07T20:24:35Z,broyet
42bd6be6-540f-47f5-8ebb-5ab55a621f83,BatchA6,,207533,0.027768719803571641,0.010503721215586195,2021-09-07T20:24:59Z,broyet
4b32ca28-daf3-40db-bfe0-4c8ae7a60e76,BatchA6,,390157,0.039190844387426489,0.018114778963342442,2021-09-07T20:25:47Z,broyet
c819d899-3474-47bf-b444-6e7084c7b509,BatchA6,,71691,0.0073084993362410944,0.0027776244034557859,2021-09-07T20:25:56Z,broyet
9f0e44b1-2d0b-4eb7-91b7-0cf8ed7a4106,BatchA6,,287348,0.020584692324986307,0.0082581363227301786,2021-09-07T20:26:28Z,broyet
ea1ad59d-043f-4a8c-b2f3-3107b9e4ecd2,BatchA6,,393989,0.038099547411100547,0.015417461800735383,2021-09-07T20:27:15Z,broyet
4b65b086-28ab-4407-8357-128e7bae7f3c,BatchA6,,395232,0.034994472641308685,0.013679218331247986,2021-09-07T20:27:54Z,broyet
bb6ad8ab-d26d-4cc3-8722-aeb9108bf6df,BatchA6,,279138,0.027554051337925562,0.012670974699823095,2021-09-07T20:28:23Z,broyet
86c055ee-81c3-425e-b2d5-ef6ae9c9a003,BatchA6,,251521,0.023769320899099861,0.011701710009176511,2021-09-07T20:28:54Z,broyet
1de6d3b9-213b-47e8-bb5d-2d714639d21a,BatchA6,,121485,0.010656602561651256,0.0042457016388481291,2021-09-07T20:29:09Z,broyet
e439b192-445b-459e-be74-eb7aeb79b709,BatchA6,,236747,0.046936802900721844,0.014478530142602926,2021-09-07T20:29:35Z,broyet
9fecc4a6-12ed-439a-a2a8-e059599e9f0f,BatchA6,,362439,0.042457637175663511,0.023323960263404612,2021-09-07T20:30:20Z,broyet
9f33c8f3-cbd5-40b1-8ff8-d2ed5632592c,BatchA6,,136306,0.015925558909281386,0.0050930815302733671,2021-09-07T20:30:35Z,broyet
79ca8e6f-f04e-4fab-bdf6-07d1e89b05f0,BatchA6,,133686,0.016425901627052732,0.0067471990470422795,2021-09-07T20:30:51Z,broyet
053ab060-8d51-492b-8192-0e6b59d3017f,BatchA6,,168814,0.01423729958365331,0.0059250122875456777,2021-09-07T20:31:09Z,broyet
bf11c10e-98ec-4395-a0d6-6ee7102c3d6f,BatchA6,,196348,0.021314340170962863,0.010809353091283558,2021-09-07T20:31:33Z,broyet
a4e44ab7-bad7-4f8e-90ab-739daff9b86b,BatchA6,,124711,0.010358650450352291,0.0040775169102683665,2021-09-07T20:31:47Z,broyet
6575761c-969b-4a54-9c2d-aa382ba4fd74,BatchA6,,431576,0.052840615106973764,0.02646409934843125,2021-09-07T20:32:36Z,broyet
BatchA9,GuberNaturSteine
8a0caa2f-effb-4e7b-9485-7f244e2ad976,BatchA9,,53897,0.0042649322780709768,0.0020293071349675607,2021-09-06T09:59:53Z,broyet
4d4f4561-dbec-4b0d-a876-6f5df39a1a92,BatchA9,,114982,0.010476966696415273,0.0053043482578294734,2021-09-06T10:00:03Z,broyet
3edc1afd-4a38-4676-8593-fce2bdf9c01e,BatchA9,,68863,0.0056248342447837605,0.0028559403014178767,2021-09-06T10:00:10Z,broyet
482be7ca-23e6-4149-add5-50a2db640c28,BatchA9,,74414,0.0070232506737306069,0.0033005298338975291,2021-09-06T10:00:17Z,broyet
d94d1531-d983-4ba2-b158-5c46774f52eb,BatchA9,,52291,0.0041088901441482589,0.0017176925255558599,2021-09-06T10:00:23Z,broyet
29803335-c540-4868-926e-6b6ca88f11b0,BatchA9,,38947,0.0032748321178716279,0.0016480607446453085,2021-09-06T10:00:27Z,broyet
45d32d60-eb84-4881-aa50-57b62a2da63e,BatchA9,,102608,0.011895316368821912,-0.0044259879564445027,2021-09-06T10:00:36Z,broyet
f10cfc4f-a0d7-49ca-96bc-700f40fd011b,BatchA9,,195793,0.028703676702974523,-0.0082506732293497458,2021-09-06T10:00:54Z,broyet
0e508008-3341-414e-9200-4774d046ddba,BatchA9,,42801,0.0039501531958425597,0.0014431007966413752,2021-09-06T10:00:58Z,broyet
b76670c0-dc29-4107-8cdc-e7f903f29c24,BatchA9,,93891,0.0077314069550603022,0.0045120466111973527,2021-09-06T10:01:08Z,broyet
b47b0e96-4593-4fcc-82df-4f79cd829aad,BatchA9,,127789,0.010860104328089041,0.0049418312878049273,2021-09-06T10:01:20Z,broyet
9df3ec3a-b776-40e8-aeae-6287e8cb204f,BatchA9,,140813,0.014469986695198949,0.0063827468421434677,2021-09-06T10:01:32Z,broyet
3a824b28-d81d-42a4-9a31-1544be162066,BatchA9,,54979,0.0040079462899998532,0.0020931383785380191,2021-09-06T10:01:38Z,broyet
e4890253-6406-4c00-b69f-f944ff07e74d,BatchA9,,56867,0.0068800208409973288,0.0027092888018436672,2021-09-06T10:01:44Z,broyet
7a2e6d2d-0429-4688-b37b-5479d00425be,BatchA9,,151162,0.016416807758755932,0.0047020694988758631,2021-09-06T10:01:57Z,broyet
14d5c4e6-89af-404c-90ab-9187c525cb8c,BatchA9,,59040,0.0077017976386889271,0.0033277714679314403,2021-09-06T10:02:03Z,broyet
20969b36-9ead-4014-8c85-cb69cf9ff225,BatchA9,,110326,0.0068034009887587236,0.0039484808653049569,2021-09-06T10:02:13Z,broyet
869dfd42-ce72-4c70-9346-c1438fe4d09f,BatchA9,,76130,0.0048779034166558091,0.0023963554850882259,2021-09-06T10:02:21Z,broyet
50daac25-a232-4471-80a2-4cce834742c1,BatchA9,,55267,0.0042885295708648737,0.0019273927640272111,2021-09-06T10:02:27Z,broyet
3ffddd3c-acd0-4b47-b40b-751001e7fa94,BatchA9,,47781,0.0031056426770984373,0.001120473176430648,2021-09-06T10:02:31Z,broyet
b97959ee-af9e-4c4d-b43a-777f253efcc8,BatchA9,,73789,0.005783341033520825,0.0028502949737552546,2021-09-06T10:02:39Z,broyet
db2c1089-01ca-4ded-bdb1-bf31d0163063,BatchA9,,61118,0.0059886626122531705,0.0027010561453691732,2021-09-06T10:02:45Z,broyet
de80f300-8af5-4274-8192-aefd555f64fb,BatchA9,,69138,0.0089248664508427659,0.0042363134783850748,2021-09-06T10:02:52Z,broyet
5cfd7461-eed1-4c03-a24b-beaf11127236,BatchA9,,90328,0.008469158839668138,0.0048755230447084597,2021-09-06T10:03:01Z,broyet
eea964dc-ed42-46fc-aa0c-2cb4caa24a9f,BatchA9,,124735,0.017050417576116021,0.0064879633532902272,2021-09-06T10:03:12Z,broyet
7507b739-68e6-49ea-b6a3-8f2ec17ce3df,BatchA9,,62828,0.0043263433765690354,0.0023247559828991422,2021-09-06T10:03:18Z,broyet
